Product-ID,Base-Name,Price,Price Percentage Change 24h,Volume 24h,Base Currency ID,Quote Currency ID
STORJ-USDC,Storj,0.2927,-0.6449422946368,115410.29,STORJ,USDC
SPELL-USDC,Spell Token,0.0005949,-0.65130260521042,826314797.0,SPELL,USDC
SPELL-USD,Spell Token,0.0005949,-0.65130260521042,826314797.0,SPELL,USD
ACS-USDC,Access,0.001416,-0.65946401010243,163807425.0,ACS,USDC
ACS-USD,Access,0.001416,-0.65946401010243,163807425.0,ACS,USD
ALGO-EUR,Algorand,0.1928,-0.66975785677486,1813442.0,ALGO,EUR
LINK-GBP,Chainlink,11.71,-0.6785411365564,70083.54,LINK,GBP
XRP-USDT,XRP,2.2805,-0.67941291755586,966170.527757,XRP,USDT
BOBA-USDC,Boba Network,0.0985,-0.70564516129032,1933001.4,BOBA,USDC
BOBA-USD,Boba Network,0.0985,-0.70564516129032,1933001.4,BOBA,USD
CELR-USD,Celer Network,0.0097,-0.7164790174002,5859864.0,CELR,USD
CELR-USDC,Celer Network,0.0097,-0.7164790174002,5859864.0,CELR,USDC
POWR-USDC,Powerledger,0.1771,-0.72869955156951,86440.5,POWR,USDC
POWR-USD,Powerledger,0.1771,-0.72869955156951,86440.5,POWR,USD
FLOW-USDT,Flow,0.407,-0.73170731707317,24636.769,FLOW,USDT
AURORA-USD,Aurora,0.0932,-0.74547390841321,816744.22,AURORA,USD
AURORA-USDC,Aurora,0.0932,-0.74547390841321,816744.22,AURORA,USDC
SOL-GBP,Solana,128.25,-0.75065779291131,7737.38,SOL,GBP
OSMO-USDC,Osmosis,0.232,-0.76988879384089,239728.76,OSMO,USDC
OSMO-USD,Osmosis,0.232,-0.76988879384089,239728.76,OSMO,USD
PYR-USD,Vulcan Forged PYR,1.15,-0.77653149266609,47128.35,PYR,USD
PYR-USDC,Vulcan Forged PYR,1.15,-0.77653149266609,47128.35,PYR,USDC
RARE-USDC,SuperRare,0.0629,-0.78864353312303,5330267.0,RARE,USDC
RARE-USD,SuperRare,0.0629,-0.78864353312303,5330267.0,RARE,USD
ZETACHAIN-USDC,Zetachain,0.2512,-0.78988941548183,151782.1,ZETACHAIN,USDC
ZETACHAIN-USD,Zetachain,0.2512,-0.78988941548183,151782.1,ZETACHAIN,USD
BTC-GBP,Bitcoin,80086.5,-0.79203843922172,168.26814086,BTC,GBP
XLM-USDT,Stellar Lumens,0.2844,-0.80223229856993,211882.9,XLM,USDT
WLD-USDC,Worldcoin,1.356,-0.8046817849305,2615746.46,WLD,USDC
WLD-USD,Worldcoin,1.356,-0.8046817849305,2615746.46,WLD,USD
LINK-USDT,Chainlink,15.79,-0.81658291457286,53875.531,LINK,USDT
BADGER-USD,Badger DAO,1.19,-0.83333333333333,109792.639,BADGER,USD
BADGER-USDC,Badger DAO,1.19,-0.83333333333333,109792.639,BADGER,USDC
DASH-USD,Dash,23.75,-0.83507306889353,8258.17426466,DASH,USD
DASH-USDC,Dash,23.75,-0.83507306889353,8258.17426466,DASH,USDC
TURBO-USDC,Turbo,0.005196,-0.83969465648855,391131505.0,TURBO,USDC
TURBO-USD,Turbo,0.005196,-0.83969465648855,391131505.0,TURBO,USD
XLM-USDC,Stellar Lumens,0.284506,-0.8644990888089,58977241.17883963,XLM,USDC
XLM-USD,Stellar Lumens,0.284506,-0.8644990888089,58977241.17883963,XLM,USD
WCFG-USDC,Wrapped Centrifuge,0.228,-0.8695652173913,1296275.65,WCFG,USDC
WCFG-USD,Wrapped Centrifuge,0.228,-0.8695652173913,1296275.65,WCFG,USD
LINK-USDC,Chainlink,15.771,-0.92970663986431,1210544.88,LINK,USDC
LINK-USD,Chainlink,15.771,-0.92970663986431,1210544.88,LINK,USD
BIGTIME-USD,Big Time,0.07175,-0.9388374982742,9613808.0,BIGTIME,USD
BIGTIME-USDC,Big Time,0.07175,-0.9388374982742,9613808.0,BIGTIME,USDC
ALGO-BTC,Algorand,0.00000202,-0.98039215686275,27301.0,ALGO,BTC
ACH-USD,Alchemy Pay,0.023705,-0.98162071846282,59458092.8,ACH,USD
ACH-USDC,Alchemy Pay,0.023705,-0.98162071846282,59458092.8,ACH,USDC
EDGE-USDC,Definitive,0.11463,-0.99326308516151,4929793.0,EDGE,USDC
EDGE-USD,Definitive,0.11463,-0.99326308516151,4929793.0,EDGE,USD
BTC-USDT,Bitcoin,107839.63,-1.00183657645844,201.51985603,BTC,USDT
LRC-USDT,Loopring,0.098,-1.01010101010101,116107.59,LRC,USDT
SOL-USDC,Solana,172.72,-1.02005730659026,961383.88858523,SOL,USDC
SOL-USD,Solana,172.72,-1.02005730659026,961383.88858523,SOL,USD
BTC-USD,Bitcoin,107871.26,-1.02249259833613,6654.02771484,BTC,USD
BTC-USDC,Bitcoin,107871.26,-1.02249259833613,6654.02771484,BTC,USDC
MUSE-USDC,Muse,8.484,-1.02659822678488,5500.265,MUSE,USDC
MUSE-USD,Muse,8.484,-1.02659822678488,5500.265,MUSE,USD
MOODENG-USDC,Moo Deng,0.2448,-1.05092966855295,133641616.22,MOODENG,USDC
MOODENG-USD,Moo Deng,0.2448,-1.05092966855295,133641616.22,MOODENG,USD
MNDE-USD,Marinade,0.12468,-1.05547178795334,874725.5,MNDE,USD
MNDE-USDC,Marinade,0.12468,-1.05547178795334,874725.5,MNDE,USDC
LRC-BTC,Loopring,0.00000091,-1.08695652173913,52830.0,LRC,BTC
SOL-USDT,Solana,172.63,-1.08863805649459,22103.178,SOL,USDT
MANTLE-USDC,Mantle,0.7194,-1.12699285321605,50748.03,MANTLE,USDC
MANTLE-USD,Mantle,0.7194,-1.12699285321605,50748.03,MANTLE,USD
ONDO-USDC,Ondo Finance,0.93401,-1.13262270961459,15038879.14,ONDO,USDC
ONDO-USD,Ondo Finance,0.93401,-1.13262270961459,15038879.14,ONDO,USD
ALGO-USD,Algorand,0.2174,-1.1368804001819,13378681.9,ALGO,USD
ALGO-USDC,Algorand,0.2174,-1.1368804001819,13378681.9,ALGO,USDC
ROSE-USD,Oasis Network,0.0337,-1.1440305074802,24937983.8,ROSE,USD
ROSE-USDC,Oasis Network,0.0337,-1.1440305074802,24937983.8,ROSE,USDC
FIDA-USDC,Bonfida,0.0843,-1.17233294255569,2221474.75,FIDA,USDC
FIDA-USD,Bonfida,0.0843,-1.17233294255569,2221474.75,FIDA,USD
PAXG-USD,PAX Gold,3297.02,-1.17972173433482,84.14769,PAXG,USD
PAXG-USDC,PAX Gold,3297.02,-1.17972173433482,84.14769,PAXG,USDC
ATH-USDC,Aethir,0.05137,-1.19253702635122,12926249.0,ATH,USDC
ATH-USD,Aethir,0.05137,-1.19253702635122,12926249.0,ATH,USD
MINA-USD,Mina,0.247,-1.2,1131233.434,MINA,USD
MINA-USDC,Mina,0.247,-1.2,1131233.434,MINA,USDC
SKL-USD,SKALE,0.0243,-1.21951219512195,20382961.8,SKL,USD
SKL-USDC,SKALE,0.0243,-1.21951219512195,20382961.8,SKL,USDC
HFT-USD,Hashflow,0.0726,-1.22448979591837,6431193.56,HFT,USD
HFT-USDC,Hashflow,0.0726,-1.22448979591837,6431193.56,HFT,USDC
RNDR-EUR,Render (ERC-20),3.9143,-1.22637462464357,21355.62,RNDR,EUR
XYO-USD,XYO,0.01205,-1.22950819672131,28005907.8,XYO,USD
XYO-USDC,XYO,0.01205,-1.22950819672131,28005907.8,XYO,USDC
ME-USDC,Magic Eden,0.947,-1.25130344108446,191950.35,ME,USDC
ME-USD,Magic Eden,0.947,-1.25130344108446,191950.35,ME,USD
AST-USDC,AirSwap,0.0454,-1.30434782608696,4510713.1,AST,USDC
AST-USD,AirSwap,0.0454,-1.30434782608696,4510713.1,AST,USD
RAD-USD,Radworks,0.75,-1.31578947368421,66502.74,RAD,USD
RAD-USDC,Radworks,0.75,-1.31578947368421,66502.74,RAD,USDC
