Product-ID,Base-Name,Price,Price Percentage Change 24h,Base Currency ID,Quote Currency ID
CVC-USD,Civic,0.1404,-1.05708245243129,CVC,USD
00-USD,00 Token,0.0187,-1.05820105820106,00,USD
00-USDC,00 Token,0.0187,-1.05820105820106,00,USDC
WAXL-USD,Wrapped Axelar,0.3526,-1.0662177328844,WAXL,USD
WAXL-USDC,Wrapped Axelar,0.3526,-1.0662177328844,WAXL,USDC
SAND-USD,The Sandbox,0.3039,-1.07421875,SAND,USD
SAND-USDC,The Sandbox,0.3039,-1.07421875,SAND,USDC
ALICE-USDC,MyNeighborAlice,0.46,-1.0752688172043,ALICE,USDC
ALICE-USD,MyNeighborAlice,0.46,-1.0752688172043,ALICE,USD
ATOM-USDC,Cosmos,4.763,-1.07995846313603,ATOM,USDC
ATOM-USD,Cosmos,4.763,-1.07995846313603,ATOM,USD
BAND-USD,Band Protocol,0.728,-1.08695652173913,BAND,USD
BAND-USDC,Band Protocol,0.728,-1.08695652173913,BAND,USDC
XLM-EUR,Stellar Lumens,0.249798,-1.10691465355472,XLM,EUR
FLR-USD,Flare,0.01862,-1.11524163568773,FLR,USD
FLR-USDC,Flare,0.01862,-1.11524163568773,FLR,USDC
ACH-USD,Alchemy Pay,0.023574,-1.11577181208054,ACH,USD
ACH-USDC,Alchemy Pay,0.023574,-1.11577181208054,ACH,USDC
NCT-USDC,PolySwarm,0.02121,-1.11888111888112,NCT,USDC
NCT-USD,PolySwarm,0.02121,-1.11888111888112,NCT,USD
RENDER-USD,Render,4.72,-1.13112693757855,RENDER,USD
RENDER-USDC,Render,4.72,-1.13112693757855,RENDER,USDC
MKR-USDC,Maker,1624.53,-1.1361976630964,MKR,USDC
MKR-USD,Maker,1624.53,-1.1361976630964,MKR,USD
ALGO-USD,Algorand,0.2175,-1.13636363636364,ALGO,USD
ALGO-USDC,Algorand,0.2175,-1.13636363636364,ALGO,USDC
XLM-BTC,Stellar Lumens,0.00000261,-1.13636363636364,XLM,BTC
SAND-USDT,The Sandbox,0.3035,-1.1400651465798,SAND,USDT
LTC-BTC,Litecoin,0.000866,-1.14155251141553,LTC,BTC
TRUMP-USDC,OFFICIAL TRUMP,12.7,-1.16731517509728,TRUMP,USDC
TRUMP-USD,OFFICIAL TRUMP,12.7,-1.16731517509728,TRUMP,USD
SHIB-EUR,SHIBA INU,0.00001261,-1.17554858934169,SHIB,EUR
ETC-EUR,Ethereum Classic,15.96,-1.17647058823529,ETC,EUR
SPELL-USDC,Spell Token,0.0005963,-1.17666556181637,SPELL,USDC
SPELL-USD,Spell Token,0.0005963,-1.17666556181637,SPELL,USD
RNDR-USD,Render (ERC-20),4.7195,-1.17679083694537,RNDR,USD
RNDR-USDC,Render (ERC-20),4.7195,-1.17679083694537,RNDR,USDC
ETC-BTC,Ethereum Classic,0.000167,-1.18343195266272,ETC,BTC
ALGO-EUR,Algorand,0.1909,-1.19047619047619,ALGO,EUR
GNO-USD,Gnosis,132.36,-1.19438638399522,GNO,USD
GNO-USDC,Gnosis,132.36,-1.19438638399522,GNO,USDC
RNDR-USDT,Render (ERC-20),4.7183,-1.1957113540227,RNDR,USDT
PYR-USDC,Vulcan Forged PYR,1.156,-1.1965811965812,PYR,USDC
PYR-USD,Vulcan Forged PYR,1.156,-1.1965811965812,PYR,USD
TURBO-USD,Turbo,0.005174,-1.20297880465916,TURBO,USD
TURBO-USDC,Turbo,0.005174,-1.20297880465916,TURBO,USDC
ICP-GBP,Internet Computer,3.85,-1.20605594046703,ICP,GBP
DOT-BTC,Polkadot,0.0000408,-1.21065375302663,DOT,BTC
