start,low,high,open,close,volume,signal,fibonacciretracement_signal
2025-05-30 08:30:00,3.4416,3.477,3.4548,3.4612,201109.7,0,0
2025-05-30 09:00:00,3.4426,3.4748,3.4622,3.4428,92151.7,0,0
2025-05-30 09:30:00,3.3902,3.4474,3.4423,3.4456,416393.4,0,0
2025-05-30 10:00:00,3.42,3.4683,3.444,3.4678,245663.1,0,0
2025-05-30 10:30:00,3.4603,3.4962,3.4677,3.4913,177503.5,0,0
2025-05-30 11:00:00,3.4769,3.5063,3.4909,3.486,325116.5,0,0
2025-05-30 11:30:00,3.4674,3.4955,3.4847,3.4854,147397.5,0,0
2025-05-30 12:00:00,3.4421,3.501,3.4866,3.4566,185638.6,-1,-1
2025-05-30 12:30:00,3.4544,3.4958,3.4568,3.4723,149859.1,0,0
2025-05-30 13:00:00,3.431,3.4846,3.4727,3.4482,231760.0,0,0
2025-05-30 13:30:00,3.4148,3.4614,3.4481,3.4269,513990.4,0,0
2025-05-30 14:00:00,3.4189,3.4519,3.427,3.4274,324011.8,0,0
2025-05-30 14:30:00,3.4243,3.4786,3.4273,3.4497,405276.6,0,0
2025-05-30 15:00:00,3.4436,3.4728,3.4496,3.4685,141398.3,0,0
2025-05-30 15:30:00,3.43,3.4716,3.4678,3.4359,229876.8,0,0
2025-05-30 16:00:00,3.3871,3.4455,3.4374,3.3927,288488.5,-1,-1
2025-05-30 16:30:00,3.25,3.3933,3.3928,3.3021,2876380.6,-1,-1
2025-05-30 17:00:00,3.2937,3.3295,3.3029,3.2995,730197.1,0,0
2025-05-30 17:30:00,3.2797,3.3097,3.2988,3.2962,522327.5,0,0
2025-05-30 18:00:00,3.2838,3.3384,3.2953,3.3306,530607.9,1,1
2025-05-30 18:30:00,3.3166,3.36,3.3302,3.3563,282496.4,0,0
2025-05-30 19:00:00,3.3411,3.3714,3.3552,3.3714,255105.5,0,0
2025-05-30 19:30:00,3.344,3.3718,3.3695,3.3521,195962.8,0,0
2025-05-30 20:00:00,3.3275,3.3528,3.3516,3.3296,581086.4,0,0
2025-05-30 20:30:00,3.32,3.3499,3.3294,3.3216,166927.4,0,0
2025-05-30 21:00:00,3.3193,3.3499,3.3222,3.3389,149933.3,0,0
2025-05-30 21:30:00,3.3063,3.3465,3.3382,3.3153,184220.4,-1,-1
2025-05-30 22:00:00,3.2751,3.3198,3.3151,3.2785,449890.7,0,0
2025-05-30 22:30:00,3.2011,3.286,3.2788,3.2049,1514183.8,0,0
2025-05-30 23:00:00,3.1721,3.2374,3.2047,3.2194,1039858.4,0,0
2025-05-30 23:30:00,3.1852,3.228,3.2195,3.1894,723609.9,0,0
2025-05-31 00:00:00,3.1082,3.2039,3.1891,3.1248,1980353.1,0,0
2025-05-31 00:30:00,3.1246,3.1892,3.1255,3.1399,499343.1,0,0
2025-05-31 01:00:00,3.1206,3.1748,3.1399,3.1331,424351.1,0,0
2025-05-31 01:30:00,3.0826,3.1449,3.1331,3.1177,815578.6,0,0
2025-05-31 02:00:00,3.101,3.1599,3.1172,3.131,250212.5,0,0
2025-05-31 02:30:00,3.0875,3.131,3.1297,3.0937,803072.8,0,0
2025-05-31 03:00:00,3.055,3.107,3.0942,3.0919,1143680.5,0,0
2025-05-31 03:30:00,3.0898,3.1176,3.0923,3.1076,420229.3,0,0
2025-05-31 04:00:00,3.0772,3.1403,3.1079,3.1353,617868.7,0,0
2025-05-31 04:30:00,3.1336,3.1615,3.1346,3.1588,486280.8,0,0
2025-05-31 05:00:00,3.1381,3.1695,3.1588,3.1436,275144.6,0,0
2025-05-31 05:30:00,3.1304,3.1589,3.1437,3.1304,109785.7,0,0
2025-05-31 06:00:00,3.1299,3.1706,3.1322,3.1678,82852.0,0,0
2025-05-31 06:30:00,3.1611,3.1878,3.1661,3.1748,228921.2,0,0
2025-05-31 07:00:00,3.158,3.1796,3.1753,3.1753,79558.8,0,0
2025-05-31 07:30:00,3.1705,3.19,3.1742,3.1789,196471.7,0,0
2025-05-31 08:00:00,3.1598,3.1871,3.1791,3.1629,68676.2,0,0
2025-05-31 08:30:00,3.1473,3.1754,3.163,3.1714,95784.9,0,0
2025-05-31 09:00:00,3.1386,3.178,3.1714,3.1425,120786.8,0,0
2025-05-31 09:30:00,3.1391,3.1511,3.1423,3.1477,154460.4,0,0
2025-05-31 10:00:00,3.134,3.1659,3.1457,3.1415,174406.1,0,0
