start,low,high,open,close,volume,fibonacciretracement_signal,EMA_Short,EMA_Long,MACD,Signal_Line,macdcrossover_signal,FlowMinMax,ew_0,ew_1,ew_2,ew_3,ew_4,ew_5,ew_a,ew_b,ew_c,signal
2025-06-01 01:00:00,104029.5,104569.28,104509.01,104188.13,93.33184902,-1,104481.66632150116,104471.49057338607,10.17574811509985,-44.68038835343647,1,-1,,,,,,,,,,0
2025-06-01 02:00:00,103976.1,104388.91,104187.54,104248.98,53.25990521,0,104445.8684258856,104455.0083086908,-9.139882805204252,-37.57228724379003,1,0,,,,,,,,,,1
2025-06-01 03:00:00,104023.08,104520.32,104248.99,104429.76,69.32411214,1,104443.39020651858,104453.13806360259,-9.747857084003044,-32.00740121183264,1,0,,,,,,,,,,1
2025-06-01 04:00:00,104412.34,104800.0,104429.76,104687.77,49.50045314,0,104480.98709782341,104470.51820703944,10.46889078397362,-23.512142812671385,1,1,,,,,,,,,,1
2025-06-01 05:00:00,104504.01,104771.52,104687.78,104592.74,35.58605435,0,104498.17985200442,104479.57167318466,18.608178819762543,-15.0880784861846,1,0,,,,,,,,,,1
2025-06-01 06:00:00,104250.51,104593.14,104592.73,104314.69,49.32730183,-1,104469.95064400375,104467.35821591172,2.592428092029877,-11.551977170541704,1,-1,,,,,,,,,,0
2025-06-01 07:00:00,104246.72,104438.65,104314.7,104339.62,30.04174814,0,104449.89977569548,104457.89612584419,-7.996350148707279,-10.84085176617482,1,0,,,,,,,,,,1
2025-06-01 08:00:00,104272.38,104452.97,104335.98,104446.67,28.28144582,0,104449.40288712694,104457.06456096684,-7.661673839902505,-10.205016180920358,1,1,,,,,,,,,,1
2025-06-01 09:00:00,103808.08,104520.49,104446.67,103989.75,147.73385081,-1,104378.68705833818,104422.4486675619,-43.76160922371491,-16.916334789479272,-1,0,,,,,,,,,,-1
2025-06-01 10:00:00,103820.89,104101.89,103989.75,103983.23,39.69094845,0,104317.84751090154,104389.9139514462,-72.06644054465869,-27.946355940515158,-1,-1,,,,,,,,,,-1
2025-06-01 11:00:00,103905.29,104216.06,103983.23,104148.26,41.24930833,0,104291.757124609,104372.01365874648,-80.2565341374866,-38.40839157990945,-1,1,,,,,,,,,,-1
2025-06-01 12:00:00,103800.81,104260.12,104148.26,104018.0,75.61664696,0,104249.64064389993,104345.79042476526,-96.14978086533665,-49.95666943699489,-1,-1,,,,,,,,,,-1
2025-06-01 13:00:00,103999.19,104473.25,104018.01,104308.77,65.38625692,0,104258.73746791533,104343.04817107895,-84.31070316361729,-56.82747618231938,-1,0,,,,,,,,,,-1
2025-06-01 14:00:00,104299.45,104821.81,104308.77,104650.44,75.94926818,1,104318.99939592836,104365.8179361842,-46.81854025584471,-54.82568899702445,1,0,,,,,,,,,,1
2025-06-01 15:00:00,104538.15,104875.46,104649.38,104767.63,76.73540807,0,104388.01948886245,104395.58179276316,-7.562303900704137,-45.37301197776039,1,0,,,,,,,,,,1
2025-06-01 16:00:00,104707.29,105365.0,104767.62,105093.59,187.22059376,0,104496.56879826823,104447.28610441033,49.28269385789463,-26.44187081062939,1,0,,,,,,,,,,1
2025-06-01 17:00:00,105034.55,105265.44,105094.08,105106.98,68.81660046,0,104590.47821391927,104496.15231889846,94.325895020811,-2.2883176443413116,1,1,,,,,,,,,,1
2025-06-01 18:00:00,104395.06,105124.91,105113.72,104959.48,124.44210928,0,104647.24771947015,104530.47288786893,116.77483160121483,21.524312204769917,1,-1,,,,,,,,,,1
2025-06-01 19:00:00,104866.87,105221.91,104955.55,105179.12,107.09631202,0,104729.07422416705,104578.52082210087,150.55340206618712,47.33013017705336,1,1,,,,,,,,,,1
2025-06-01 20:00:00,104931.69,105358.3,105179.12,105011.27,146.90854433,0,104772.48895891059,104610.57631676007,161.9126421505207,70.24663257174683,1,-1,,,,,,,,,,1
2025-06-01 21:00:00,104970.29,105574.0,105011.27,105547.53,183.75079939,1,104891.72604215512,104679.98029329636,211.74574885875336,98.54645582914814,1,0,,,,,,,,,,1
