start,low,high,open,close,volume,gartleypattern_signal,peak,trough,gartley_x,gartley_a,gartley_b,gartley_c,gartley_d,fibonacciretracement_signal,signal
2025-06-06 13:00:00,3.1467,3.1923,3.1467,3.1752,665642.1,0,,,,,,,,0,0
2025-06-06 13:30:00,3.163,3.2052,3.1756,3.1659,734557.6,-1,,,3.1659,3.1659,,,3.1659,-1,-1
2025-06-06 14:00:00,3.1626,3.1953,3.1662,3.1856,259882.3,0,,,,,,,,0,0
2025-06-06 14:30:00,3.174,3.1993,3.1863,3.1922,428169.2,0,3.1922,,,,,,,0,0
2025-06-06 15:00:00,3.1815,3.2,3.1922,3.183,489516.7,0,,3.183,,3.183,3.183,,,0,0
2025-06-06 15:30:00,3.1655,3.1922,3.1834,3.1863,314322.1,0,,,,,,,,0,0
2025-06-06 16:00:00,3.1698,3.2003,3.1852,3.1911,697852.3,0,,,,,,,,0,0
2025-06-06 16:30:00,3.177,3.2004,3.1906,3.1873,243982.1,0,,,,,3.1873,3.1873,,0,0
2025-06-06 17:00:00,3.1573,3.1912,3.1878,3.1646,461457.7,0,,,,,,,,-1,-1
2025-06-06 17:30:00,3.1507,3.1801,3.1649,3.1766,241439.0,0,3.1766,,,,,,,0,0
2025-06-06 18:00:00,3.1499,3.1802,3.1766,3.1525,181505.7,0,,3.1525,,,,,,0,0
2025-06-06 18:30:00,3.1447,3.169,3.1527,3.1655,311529.8,0,,,,,,,,0,0
2025-06-06 19:00:00,3.1564,3.1874,3.1643,3.1756,202475.6,0,,,,,,,,0,0
2025-06-06 19:30:00,3.1719,3.1939,3.1761,3.1896,169423.4,0,,,,,,,,0,0
2025-06-06 20:00:00,3.1792,3.1986,3.1902,3.1955,303294.6,-1,3.1955,,,,,3.1955,3.1955,0,-1
2025-06-06 20:30:00,3.1775,3.196,3.1952,3.1811,148655.4,0,,,,,,,,0,0
2025-06-06 21:00:00,3.1698,3.1836,3.1803,3.1797,110998.9,0,,3.1797,,,,,,0,0
2025-06-06 21:30:00,3.1805,3.2024,3.1805,3.1888,297847.2,-1,,,,,,,3.1888,0,-1
2025-06-06 22:00:00,3.1778,3.1941,3.1897,3.193,135942.8,0,,,,,,,,0,0
2025-06-06 22:30:00,3.1856,3.224,3.193,3.2183,295818.0,0,,,,,,,,0,0
2025-06-06 23:00:00,3.1935,3.2209,3.2178,3.2097,164029.5,0,,,,,,,,0,0
2025-06-06 23:30:00,3.1955,3.2126,3.2091,3.1965,54665.3,0,,,,,,,,0,0
2025-06-07 00:00:00,3.1733,3.2004,3.1968,3.1945,163576.5,0,,3.1945,,,,,,0,0
2025-06-07 00:30:00,3.1944,3.2416,3.195,3.2386,627308.3,0,3.2386,,,,,,,0,0
2025-06-07 01:00:00,3.222,3.244,3.2379,3.2288,152188.1,0,,,3.2288,,,,,0,0
2025-06-07 01:30:00,3.2129,3.2327,3.2289,3.222,176691.1,0,,,,,,,,0,0
2025-06-07 02:00:00,3.209,3.2275,3.2213,3.2221,183162.4,0,,,,,,,,0,0
2025-06-07 02:30:00,3.2132,3.2622,3.2225,3.258,352419.3,0,,,,,,,,1,1
2025-06-07 03:00:00,3.2532,3.2944,3.2574,3.2797,655390.7,0,,,,,,,,0,0
2025-06-07 03:30:00,3.2731,3.2984,3.2797,3.2914,598595.8,0,3.2914,,,3.2914,,,,0,0
2025-06-07 04:00:00,3.2704,3.2951,3.2915,3.2725,458501.9,0,,,,,,,,0,0
2025-06-07 04:30:00,3.24,3.2728,3.2728,3.2588,402741.3,0,,3.2588,,,,,,0,0
2025-06-07 05:00:00,3.2468,3.2679,3.259,3.2668,370280.5,0,,,,,,,,0,0
2025-06-07 05:30:00,3.2676,3.2888,3.2676,3.2756,160874.2,0,,,,,,,,0,0
2025-06-07 06:00:00,3.263,3.2784,3.2755,3.2709,200247.0,0,,,,,,,,0,0
2025-06-07 06:30:00,3.2714,3.2913,3.2714,3.2866,110473.1,0,3.2866,,,,,,,0,0
2025-06-07 07:00:00,3.2688,3.2905,3.2849,3.2858,117656.2,0,,,,,,,,0,0
2025-06-07 07:30:00,3.2776,3.2919,3.2854,3.2854,142180.4,0,,,,,3.2854,,,0,0
