start,low,high,open,close,volume,gartleypattern_signal,peak,trough,fibonacciretracement_signal,signal
2025-06-02 11:30:00,3.24,3.265,3.2487,3.2595,128884.9,0,,,0,0
2025-06-02 12:00:00,3.2256,3.266,3.26,3.2534,300592.6,0,,,0,0
2025-06-02 12:30:00,3.2514,3.2815,3.2522,3.2778,122350.6,0,3.2778,,0,0
2025-06-02 13:00:00,3.2538,3.2895,3.2784,3.2675,242725.3,0,,,-1,-1
2025-06-02 13:30:00,3.2392,3.2935,3.2662,3.2417,236625.5,0,,3.2417,0,0
2025-06-02 14:00:00,3.2217,3.2959,3.2421,3.2873,583104.5,0,,,1,1
2025-06-02 14:30:00,3.2624,3.3022,3.2879,3.2802,322810.2,0,,,0,0
2025-06-02 15:00:00,3.2574,3.3017,3.2788,3.2835,263771.5,0,,,0,0
2025-06-02 15:30:00,3.2778,3.2971,3.2851,3.2891,171907.6,0,3.2891,,0,0
2025-06-02 16:00:00,3.2561,3.2931,3.2883,3.2586,133411.7,0,,3.2586,0,0
2025-06-02 16:30:00,3.2501,3.2853,3.2586,3.2762,227951.7,0,,,1,1
2025-06-02 17:00:00,3.2564,3.2984,3.2767,3.2914,141234.1,0,,,0,0
2025-06-02 17:30:00,3.2834,3.3028,3.293,3.2991,152471.7,0,,,0,0
2025-06-02 18:00:00,3.2932,3.3275,3.2985,3.3173,181320.0,0,3.3173,,0,0
2025-06-02 18:30:00,3.2831,3.3207,3.3166,3.2884,205143.9,0,,,0,0
2025-06-02 19:00:00,3.2732,3.3036,3.2885,3.2799,77685.0,0,,3.2799,0,0
2025-06-02 19:30:00,3.2545,3.2834,3.2819,3.2834,161260.3,0,,,0,0
2025-06-02 20:00:00,3.2802,3.3388,3.2831,3.3299,285869.4,0,,,0,0
2025-06-02 20:30:00,3.3166,3.3376,3.33,3.3312,150947.8,0,,,0,0
2025-06-02 21:00:00,3.3305,3.3651,3.331,3.3424,618477.5,0,,,0,0
